sensor,start_index,end_index,total_deviation,dominant_rul_category,dominant_count,interval_length,is_low_rul_indicator
sensor_32,4197,8180,5165.272588308819,Moderately Low RUL,3181,3984,True
sensor_29,5061,9999,4935.523646174681,Moderately Low RUL,3939,4939,True
sensor_17,7630,9999,4372.12616625666,Moderately Low RUL,1370,2370,True
sensor_37,8808,9999,4352.524074656464,Extremely Low RUL,1000,1192,True
sensor_25,5332,9998,4152.689111821187,Moderately Low RUL,3668,4667,True
sensor_36,3545,9999,4095.080264166409,Moderately Low RUL,4000,6455,True
sensor_24,8600,9999,3682.629798309794,Extremely Low RUL,1000,1400,True
sensor_35,3450,9998,2681.1193095409685,Moderately Low RUL,4000,6549,True
sensor_40,7332,9113,1776.4385146764757,Moderately Low RUL,1668,1782,True
sensor_48,5586,7603,1321.9174855325493,Moderately Low RUL,2018,2018,True
sensor_22,8599,9998,1209.9935823082478,Extremely Low RUL,999,1400,True
sensor_46,7268,9783,1056.7493007758728,Moderately Low RUL,1732,2516,True
sensor_13,5857,9975,1024.1241415446718,Moderately Low RUL,3143,4119,True
sensor_43,7337,9300,880.276658805663,Moderately Low RUL,1663,1964,True
sensor_19,8717,9999,687.9850739773972,Extremely Low RUL,1000,1283,True
sensor_51,4577,7869,630.0248606060684,Moderately Low RUL,2870,3293,True
sensor_14,8622,9995,354.0736648364777,Extremely Low RUL,996,1374,True
sensor_47,4852,9897,325.67248768583283,Moderately Low RUL,4000,5046,True
sensor_10,2786,9995,313.190081906402,Moderately Low RUL,4000,7210,True
sensor_38,3110,9843,276.1319696669496,Moderately Low RUL,4000,6734,True
sensor_39,8222,9562,154.84655657430142,Moderately Low RUL,778,1341,True
sensor_41,2868,9938,139.9432214349198,Moderately Low RUL,4000,7071,True
sensor_42,7326,9894,100.36293375832733,Moderately Low RUL,1674,2569,True
sensor_09,5832,5920,61.46957489649294,Moderately Low RUL,89,89,True
sensor_18,7904,9995,46.31404588628894,Moderately Low RUL,1096,2092,True
sensor_03,5217,9489,32.33858125479592,Moderately Low RUL,3783,4273,True
sensor_08,5767,8750,24.514905962596192,Moderately Low RUL,2984,2984,True
sensor_02,8990,9826,19.57380504361334,Extremely Low RUL,827,837,True
sensor_07,3884,9997,11.365207201663512,Moderately Low RUL,4000,6114,True
sensor_31,830,4076,16526.52586546712,Moderately High RUL,3077,3247,False
sensor_27,334,623,10840.478642622276,Extremely High RUL,290,290,False
sensor_30,882,2443,10405.230391349112,Moderately High RUL,1444,1562,False
sensor_33,241,5543,3681.799682178422,Moderately High RUL,4000,5303,False
sensor_28,242,994,3619.9785944894224,Extremely High RUL,753,753,False
sensor_21,934,6526,1938.037473327296,Moderately High RUL,4000,5593,False
sensor_34,2026,6660,1761.8507170216544,Moderately High RUL,2974,4635,False
sensor_49,19,6923,1271.9617996079426,Moderately High RUL,4000,6905,False
sensor_45,2170,3141,1190.3668208109389,Moderately High RUL,972,972,False
sensor_23,267,3557,1067.3179792979868,Moderately High RUL,2558,3291,False
sensor_04,736,5915,1042.733489448872,Moderately High RUL,4000,5180,False
sensor_16,2018,4015,927.4996522752425,Moderately High RUL,1998,1998,False
sensor_26,273,2640,878.9493110711281,Moderately High RUL,1641,2368,False
sensor_05,102,4790,859.8426874937431,Moderately High RUL,3791,4689,False
sensor_20,1797,5399,419.383369656981,Moderately High RUL,3203,3603,False
sensor_44,172,3130,411.0240193866872,Moderately High RUL,2131,2959,False
sensor_01,1,2039,184.00498048484283,Moderately High RUL,1040,2039,False
sensor_12,1870,2960,108.9272263430349,Moderately High RUL,1091,1091,False
sensor_11,1835,7863,97.06918848647521,Moderately High RUL,3165,6029,False
sensor_00,62,4831,9.493931137414075,Moderately High RUL,3832,4770,False
sensor_06,2689,4489,7.656197497749996,Moderately High RUL,1801,1801,False
